location,date,population,new_cases,new_deaths,rolling_total_cases,rolling_total_deaths,rolling_total_percentage
Africa,24-12-22,1446883817,0,0,1206,14,1.16
Africa,25-12-22,1446883817,0,0,1206,14,1.16
Africa,26-12-22,1446883817,0,0,1206,14,1.16
Africa,27-12-22,1446883817,0,0,1206,14,1.16
Africa,28-12-22,1446883817,0,0,1206,14,1.16
Africa,29-12-22,1446883817,0,0,1206,14,1.16
Africa,30-12-22,1446883817,8,0,1214,14,1.15
Africa,31-12-22,1446883817,0,0,1214,14,1.15
Africa,01-01-23,1480770740,0,0,1214,14,1.15
Africa,02-01-23,1480770740,0,0,1214,14,1.15
Africa,03-01-23,1480770740,0,0,1214,14,1.15
Africa,04-01-23,1480770740,0,0,1214,14,1.15
Africa,05-01-23,1480770740,0,0,1214,14,1.15
Africa,06-01-23,1480770740,42,0,1256,14,1.11
Africa,07-01-23,1480770740,0,0,1256,14,1.11
Africa,08-01-23,1480770740,0,0,1256,14,1.11
Africa,09-01-23,1480770740,0,0,1256,14,1.11
Africa,10-01-23,1480770740,2,0,1258,14,1.11
Africa,11-01-23,1480770740,0,0,1258,14,1.11
Africa,12-01-23,1480770740,0,0,1258,14,1.11
Africa,13-01-23,1480770740,27,1,1285,15,1.17
Africa,14-01-23,1480770740,0,0,1285,15,1.17
Africa,15-01-23,1480770740,0,0,1285,15,1.17
Africa,16-01-23,1480770740,0,0,1285,15,1.17
Africa,17-01-23,1480770740,0,0,1285,15,1.17
Africa,18-01-23,1480770740,0,0,1285,15,1.17
Africa,19-01-23,1480770740,0,0,1285,15,1.17
Africa,20-01-23,1480770740,35,0,1320,15,1.14
Africa,21-01-23,1480770740,0,0,1320,15,1.14
Africa,22-01-23,1480770740,0,0,1320,15,1.14
Africa,23-01-23,1480770740,0,0,1320,15,1.14
Africa,24-01-23,1480770740,0,0,1320,15,1.14
Africa,25-01-23,1480770740,0,0,1320,15,1.14
Africa,26-01-23,1480770740,0,0,1320,15,1.14
Africa,27-01-23,1480770740,27,0,1347,15,1.11
Africa,28-01-23,1480770740,0,0,1347,15,1.11
Africa,29-01-23,1480770740,0,0,1347,15,1.11
Africa,30-01-23,1480770740,0,0,1347,15,1.11
Africa,31-01-23,1480770740,1,0,1348,15,1.11
Africa,01-02-23,1480770740,0,0,1348,15,1.11
Africa,02-02-23,1480770740,0,0,1348,15,1.11
Africa,03-02-23,1480770740,10,0,1358,15,1.1
Africa,04-02-23,1480770740,0,0,1358,15,1.1
Africa,05-02-23,1480770740,0,0,1358,15,1.1
Africa,06-02-23,1480770740,0,0,1358,15,1.1
Africa,07-02-23,1480770740,0,0,1358,15,1.1
Africa,08-02-23,1480770740,0,0,1358,15,1.1
Africa,09-02-23,1480770740,0,0,1358,15,1.1
Africa,10-02-23,1480770740,9,1,1367,16,1.17
Africa,11-02-23,1480770740,0,0,1367,16,1.17
Africa,12-02-23,1480770740,0,0,1367,16,1.17
Africa,13-02-23,1480770740,0,0,1367,16,1.17
Africa,14-02-23,1480770740,0,0,1367,16,1.17
Africa,15-02-23,1480770740,0,0,1367,16,1.17
Africa,16-02-23,1480770740,0,0,1367,16,1.17
Africa,17-02-23,1480770740,40,0,1407,16,1.14
Africa,18-02-23,1480770740,0,0,1407,16,1.14
Africa,19-02-23,1480770740,0,0,1407,16,1.14
Africa,20-02-23,1480770740,0,0,1407,16,1.14
Africa,21-02-23,1480770740,0,0,1407,16,1.14
Africa,22-02-23,1480770740,0,0,1407,16,1.14
Africa,23-02-23,1480770740,0,0,1407,16,1.14
Africa,24-02-23,1480770740,5,0,1412,16,1.13
Africa,25-02-23,1480770740,0,0,1412,16,1.13
Africa,26-02-23,1480770740,0,0,1412,16,1.13
Africa,27-02-23,1480770740,0,0,1412,16,1.13
Africa,28-02-23,1480770740,0,0,1412,16,1.13
Africa,01-03-23,1480770740,0,0,1412,16,1.13
Africa,02-03-23,1480770740,0,0,1412,16,1.13
Africa,03-03-23,1480770740,27,1,1439,17,1.18
Africa,04-03-23,1480770740,0,0,1439,17,1.18
Africa,05-03-23,1480770740,0,0,1439,17,1.18
Africa,06-03-23,1480770740,0,0,1439,17,1.18
Africa,07-03-23,1480770740,0,0,1439,17,1.18
Africa,08-03-23,1480770740,0,0,1439,17,1.18
Africa,09-03-23,1480770740,0,0,1439,17,1.18
Africa,10-03-23,1480770740,11,0,1450,17,1.17
Africa,11-03-23,1480770740,0,0,1450,17,1.17
Africa,12-03-23,1480770740,0,0,1450,17,1.17
Africa,13-03-23,1480770740,0,0,1450,17,1.17
Africa,14-03-23,1480770740,0,0,1450,17,1.17
Africa,15-03-23,1480770740,0,0,1450,17,1.17
Africa,16-03-23,1480770740,0,0,1450,17,1.17
Africa,17-03-23,1480770740,11,0,1461,17,1.16
Africa,18-03-23,1480770740,0,0,1461,17,1.16
Africa,19-03-23,1480770740,0,0,1461,17,1.16
Africa,20-03-23,1480770740,0,0,1461,17,1.16
Africa,21-03-23,1480770740,0,0,1461,17,1.16
Africa,22-03-23,1480770740,0,0,1461,17,1.16
Africa,23-03-23,1480770740,0,0,1461,17,1.16
Africa,24-03-23,1480770740,12,0,1473,17,1.15
Africa,25-03-23,1480770740,0,0,1473,17,1.15
Africa,26-03-23,1480770740,0,0,1473,17,1.15
Africa,27-03-23,1480770740,0,0,1473,17,1.15
Africa,28-03-23,1480770740,0,0,1473,17,1.15
Africa,29-03-23,1480770740,0,0,1473,17,1.15
Africa,30-03-23,1480770740,0,0,1473,17,1.15
Africa,31-03-23,1480770740,6,0,1479,17,1.15
Africa,01-04-23,1480770740,0,0,1479,17,1.15
Africa,02-04-23,1480770740,0,0,1479,17,1.15
Africa,03-04-23,1480770740,0,0,1479,17,1.15
Africa,04-04-23,1480770740,0,0,1479,17,1.15
Africa,05-04-23,1480770740,1,0,1480,17,1.15
Africa,06-04-23,1480770740,0,0,1480,17,1.15
Africa,07-04-23,1480770740,65,0,1545,17,1.1
Africa,08-04-23,1480770740,0,0,1545,17,1.1
Africa,09-04-23,1480770740,0,0,1545,17,1.1
Africa,10-04-23,1480770740,0,0,1545,17,1.1
Africa,11-04-23,1480770740,0,0,1545,17,1.1
Africa,12-04-23,1480770740,0,0,1545,17,1.1
Africa,13-04-23,1480770740,0,0,1545,17,1.1
Africa,14-04-23,1480770740,40,0,1585,17,1.07
Africa,15-04-23,1480770740,0,0,1585,17,1.07
Africa,16-04-23,1480770740,0,0,1585,17,1.07
Africa,17-04-23,1480770740,0,0,1585,17,1.07
Africa,18-04-23,1480770740,0,0,1585,17,1.07
Africa,19-04-23,1480770740,0,0,1585,17,1.07
Africa,20-04-23,1480770740,0,0,1585,17,1.07
Africa,21-04-23,1480770740,3,0,1588,17,1.07
Africa,22-04-23,1480770740,0,0,1588,17,1.07
Africa,23-04-23,1480770740,0,0,1588,17,1.07
Africa,24-04-23,1480770740,0,0,1588,17,1.07
Africa,25-04-23,1480770740,0,0,1588,17,1.07
Africa,26-04-23,1480770740,0,0,1588,17,1.07
Africa,27-04-23,1480770740,0,0,1588,17,1.07
Africa,28-04-23,1480770740,2,0,1590,17,1.07
Africa,29-04-23,1480770740,0,0,1590,17,1.07
Africa,30-04-23,1480770740,0,0,1590,17,1.07
Africa,01-05-23,1480770740,0,0,1590,17,1.07
Africa,02-05-23,1480770740,0,0,1590,17,1.07
Africa,03-05-23,1480770740,0,0,1590,17,1.07
Africa,04-05-23,1480770740,0,0,1590,17,1.07
Africa,05-05-23,1480770740,49,1,1639,18,1.1
Africa,06-05-23,1480770740,0,0,1639,18,1.1
Africa,07-05-23,1480770740,0,0,1639,18,1.1
Africa,08-05-23,1480770740,0,0,1639,18,1.1
Africa,09-05-23,1480770740,0,0,1639,18,1.1
Africa,10-05-23,1480770740,0,0,1639,18,1.1
Africa,11-05-23,1480770740,0,0,1639,18,1.1
Africa,12-05-23,1480770740,34,1,1673,19,1.14
Africa,13-05-23,1480770740,0,0,1673,19,1.14
Africa,14-05-23,1480770740,0,0,1673,19,1.14
Africa,15-05-23,1480770740,0,0,1673,19,1.14
Africa,16-05-23,1480770740,0,0,1673,19,1.14
Africa,17-05-23,1480770740,0,0,1673,19,1.14
Africa,18-05-23,1480770740,0,0,1673,19,1.14
Africa,19-05-23,1480770740,22,0,1695,19,1.12
Africa,20-05-23,1480770740,0,0,1695,19,1.12
Africa,21-05-23,1480770740,0,0,1695,19,1.12
Africa,22-05-23,1480770740,0,0,1695,19,1.12
Africa,23-05-23,1480770740,0,0,1695,19,1.12
Africa,24-05-23,1480770740,0,0,1695,19,1.12
Africa,25-05-23,1480770740,0,0,1695,19,1.12
Africa,26-05-23,1480770740,3,0,1698,19,1.12
Africa,27-05-23,1480770740,0,0,1698,19,1.12
Africa,28-05-23,1480770740,0,0,1698,19,1.12
Africa,29-05-23,1480770740,0,0,1698,19,1.12
Africa,30-05-23,1480770740,0,0,1698,19,1.12
Africa,31-05-23,1480770740,0,0,1698,19,1.12
Africa,01-06-23,1480770740,0,0,1698,19,1.12
Africa,02-06-23,1480770740,32,0,1730,19,1.1
Africa,03-06-23,1480770740,0,0,1730,19,1.1
Africa,04-06-23,1480770740,0,0,1730,19,1.1
Africa,05-06-23,1480770740,0,0,1730,19,1.1
Africa,06-06-23,1480770740,0,0,1730,19,1.1
Africa,07-06-23,1480770740,0,0,1730,19,1.1
Africa,08-06-23,1480770740,0,0,1730,19,1.1
Africa,09-06-23,1480770740,10,0,1740,19,1.09
Africa,10-06-23,1480770740,0,0,1740,19,1.09
Africa,11-06-23,1480770740,0,0,1740,19,1.09
Africa,12-06-23,1480770740,0,0,1740,19,1.09
Africa,13-06-23,1480770740,0,0,1740,19,1.09
Africa,14-06-23,1480770740,0,0,1740,19,1.09
Africa,15-06-23,1480770740,0,0,1740,19,1.09
Africa,16-06-23,1480770740,25,0,1765,19,1.08
Africa,17-06-23,1480770740,0,0,1765,19,1.08
Africa,18-06-23,1480770740,0,0,1765,19,1.08
Africa,19-06-23,1480770740,0,0,1765,19,1.08
Africa,20-06-23,1480770740,0,0,1765,19,1.08
Africa,21-06-23,1480770740,0,0,1765,19,1.08
Africa,22-06-23,1480770740,0,0,1765,19,1.08
Africa,23-06-23,1480770740,35,0,1800,19,1.06
Africa,24-06-23,1480770740,0,0,1800,19,1.06
Africa,25-06-23,1480770740,0,0,1800,19,1.06
Africa,26-06-23,1480770740,0,0,1800,19,1.06
Africa,27-06-23,1480770740,0,0,1800,19,1.06
Africa,28-06-23,1480770740,0,0,1800,19,1.06
Africa,29-06-23,1480770740,0,0,1800,19,1.06
Africa,30-06-23,1480770740,25,0,1825,19,1.04
Africa,01-07-23,1480770740,0,0,1825,19,1.04
Africa,02-07-23,1480770740,0,0,1825,19,1.04
Africa,03-07-23,1480770740,0,0,1825,19,1.04
Africa,04-07-23,1480770740,0,0,1825,19,1.04
Africa,05-07-23,1480770740,0,0,1825,19,1.04
Africa,06-07-23,1480770740,0,0,1825,19,1.04
Africa,07-07-23,1480770740,27,0,1852,19,1.03
Africa,08-07-23,1480770740,0,0,1852,19,1.03
Africa,09-07-23,1480770740,0,0,1852,19,1.03
Africa,10-07-23,1480770740,0,0,1852,19,1.03
Africa,11-07-23,1480770740,0,0,1852,19,1.03
Africa,12-07-23,1480770740,0,0,1852,19,1.03
Africa,13-07-23,1480770740,0,0,1852,19,1.03
Africa,14-07-23,1480770740,32,0,1884,19,1.01
Africa,15-07-23,1480770740,0,0,1884,19,1.01
Africa,16-07-23,1480770740,0,0,1884,19,1.01
Africa,17-07-23,1480770740,0,0,1884,19,1.01
Africa,18-07-23,1480770740,0,0,1884,19,1.01
Africa,19-07-23,1480770740,0,0,1884,19,1.01
Africa,20-07-23,1480770740,0,0,1884,19,1.01
Africa,21-07-23,1480770740,11,0,1895,19,1
Africa,22-07-23,1480770740,0,0,1895,19,1
Africa,23-07-23,1480770740,0,0,1895,19,1
Africa,24-07-23,1480770740,0,0,1895,19,1
Africa,25-07-23,1480770740,0,0,1895,19,1
Africa,26-07-23,1480770740,0,0,1895,19,1
Africa,27-07-23,1480770740,0,0,1895,19,1
Africa,28-07-23,1480770740,7,0,1902,19,1
Africa,29-07-23,1480770740,0,0,1902,19,1
Africa,30-07-23,1480770740,0,0,1902,19,1
Africa,31-07-23,1480770740,0,0,1902,19,1
Africa,01-08-23,1480770740,0,0,1902,19,1
Africa,02-08-23,1480770740,0,0,1902,19,1
Africa,03-08-23,1480770740,0,0,1902,19,1
Africa,04-08-23,1480770740,15,0,1917,19,0.99
Africa,05-08-23,1480770740,0,0,1917,19,0.99
Africa,06-08-23,1480770740,0,0,1917,19,0.99
Africa,07-08-23,1480770740,0,0,1917,19,0.99
Africa,08-08-23,1480770740,0,0,1917,19,0.99
Africa,09-08-23,1480770740,0,0,1917,19,0.99
Africa,10-08-23,1480770740,0,0,1917,19,0.99
Africa,11-08-23,1480770740,12,0,1929,19,0.98
Africa,12-08-23,1480770740,0,0,1929,19,0.98
Africa,13-08-23,1480770740,0,0,1929,19,0.98
Africa,14-08-23,1480770740,0,0,1929,19,0.98
Africa,15-08-23,1480770740,0,0,1929,19,0.98
Africa,16-08-23,1480770740,0,0,1929,19,0.98
Africa,17-08-23,1480770740,0,0,1929,19,0.98
Africa,18-08-23,1480770740,10,0,1939,19,0.98
Africa,19-08-23,1480770740,0,0,1939,19,0.98
Africa,20-08-23,1480770740,0,0,1939,19,0.98
Africa,21-08-23,1480770740,0,0,1939,19,0.98
Africa,22-08-23,1480770740,0,0,1939,19,0.98
Africa,23-08-23,1480770740,0,0,1939,19,0.98
Africa,24-08-23,1480770740,0,0,1939,19,0.98
Africa,25-08-23,1480770740,16,0,1955,19,0.97
Africa,26-08-23,1480770740,0,0,1955,19,0.97
Africa,27-08-23,1480770740,0,0,1955,19,0.97
Africa,28-08-23,1480770740,0,0,1955,19,0.97
Africa,29-08-23,1480770740,0,0,1955,19,0.97
Africa,30-08-23,1480770740,0,0,1955,19,0.97
Africa,31-08-23,1480770740,0,0,1955,19,0.97
Africa,01-09-23,1480770740,7,0,1962,19,0.97
Africa,02-09-23,1480770740,0,0,1962,19,0.97
Africa,03-09-23,1480770740,0,0,1962,19,0.97
Africa,04-09-23,1480770740,0,0,1962,19,0.97
Africa,05-09-23,1480770740,0,0,1962,19,0.97
Africa,06-09-23,1480770740,0,0,1962,19,0.97
Africa,07-09-23,1480770740,0,0,1962,19,0.97
Africa,08-09-23,1480770740,8,0,1970,19,0.96
